"File","Time in ms","Size in KB"
"json502.jsonld",654,454
"json503.jsonld",761,455
"json504.jsonld",726,456
"json505.jsonld",724,457
"json506.jsonld",691,458
"json507.jsonld",698,459
"json508.jsonld",699,460
"json509.jsonld",829,461
"json510.jsonld",831,461
"json511.jsonld",818,462
"json512.jsonld",665,463
"json513.jsonld",676,464
"json514.jsonld",743,465
"json515.jsonld",899,466
"json516.jsonld",641,467
"json517.jsonld",765,468
"json518.jsonld",941,469
"json519.jsonld",685,470
"json520.jsonld",805,471
"json521.jsonld",862,471
"json522.jsonld",743,472
"json523.jsonld",698,473
"json524.jsonld",743,474
"json525.jsonld",817,475
"json526.jsonld",918,476
"json527.jsonld",870,477
"json528.jsonld",767,478
"json529.jsonld",809,479
"json530.jsonld",799,480
"json531.jsonld",835,480
"json532.jsonld",746,481
"json533.jsonld",933,482
"json534.jsonld",910,483
"json535.jsonld",710,484
"json536.jsonld",782,485
"json537.jsonld",977,486
"json538.jsonld",709,487
"json539.jsonld",759,488
"json540.jsonld",1034,489
"json541.jsonld",848,489
"json542.jsonld",718,490
"json543.jsonld",849,491
"json544.jsonld",690,492
"json545.jsonld",725,493
"json546.jsonld",787,494
"json547.jsonld",695,495
"json548.jsonld",727,496
"json549.jsonld",792,497
"json550.jsonld",835,498
"json551.jsonld",847,498
"json552.jsonld",861,499
"json553.jsonld",816,500
"json554.jsonld",718,501
"json555.jsonld",879,502
"json556.jsonld",709,503
"json557.jsonld",749,504
"json558.jsonld",748,505
"json559.jsonld",789,506
"json560.jsonld",725,507
"json561.jsonld",708,508
"json562.jsonld",828,508
"json563.jsonld",767,509
"json564.jsonld",820,510
"json565.jsonld",782,511
"json566.jsonld",911,512
"json567.jsonld",960,513
"json568.jsonld",761,514
"json569.jsonld",810,515
"json570.jsonld",919,516
"json571.jsonld",769,517
"json572.jsonld",899,517
"json573.jsonld",731,518
"json574.jsonld",841,519
"json575.jsonld",743,520
"json576.jsonld",815,521
"json577.jsonld",738,522
"json578.jsonld",867,523
"json579.jsonld",782,524
"json580.jsonld",747,525
"json581.jsonld",737,526
"json582.jsonld",786,526
"json583.jsonld",786,527
"json584.jsonld",759,528
"json585.jsonld",1077,529
"json586.jsonld",879,530
"json587.jsonld",907,531
"json588.jsonld",902,532
"json589.jsonld",855,533
"json590.jsonld",968,534
"json591.jsonld",885,535
"json592.jsonld",894,535
"json593.jsonld",804,536
"json594.jsonld",1028,537
"json595.jsonld",861,538
"json596.jsonld",895,539
"json597.jsonld",834,540
"json598.jsonld",862,541
"json599.jsonld",922,542
"json600.jsonld",854,543
"json601.jsonld",833,544
"json602.jsonld",814,545
"json603.jsonld",765,545
"json604.jsonld",816,546
"json605.jsonld",944,547
"json606.jsonld",862,548
